city,model,recall,precision,f_score,ae,ue
Athens,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,0.0
Athens,gpt-5.4-nano,0.0,0.0,0.0,0.0,0.0
Athens,llama3.1:8b,0.0,0.0,0.0,0.0,0.0
Barcelona,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,0.0
Barcelona,gpt-5.4-nano,0.0,0.0,0.0,0.0,0.0
Barcelona,llama3.1:8b,0.0,0.0,0.0,0.0,0.0
Budapest,llama3.1:8b,0.0714,0.0298,0.0409,0.0,0.0
Budapest,gpt-5.4-nano,0.0863,0.0242,0.037,0.0,0.0
Budapest,gemini-3.1-flash-lite,0.0238,0.0095,0.0136,0.0,0.0
Edinburgh,gpt-5.4-nano,0.2129,0.0659,0.0956,0.0,0.0
Edinburgh,llama3.1:8b,0.0598,0.0344,0.0393,0.0,0.0
Edinburgh,gemini-3.1-flash-lite,0.0679,0.0266,0.0362,0.0,0.0
Glasgow,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,0.0
Glasgow,gpt-5.4-nano,0.0,0.0,0.0,0.0,0.0
Glasgow,llama3.1:8b,0.0,0.0,0.0,0.0,0.0
London,gpt-5.4-nano,0.0167,0.0103,0.0127,0.0,0.0
London,llama3.1:8b,0.0062,0.0062,0.0062,0.0,0.0
London,gemini-3.1-flash-lite,0.0062,0.0047,0.0054,0.0,0.0
Madrid,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,0.0
Madrid,gpt-5.4-nano,0.0,0.0,0.0,0.0,0.0
Madrid,llama3.1:8b,0.0,0.0,0.0,0.0,0.0
Melbourne,gemini-3.1-flash-lite,0.0338,0.0241,0.0234,0.0,0.0
Melbourne,llama3.1:8b,0.0147,0.0238,0.0174,0.0,0.0
Melbourne,gpt-5.4-nano,0.0415,0.0131,0.0165,0.0,0.0
NewDelhi,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,0.0
NewDelhi,gpt-5.4-nano,0.0,0.0,0.0,0.0,0.0
NewDelhi,llama3.1:8b,0.0,0.0,0.0,0.0,0.0
Osaka,gemini-3.1-flash-lite,0.2417,0.0767,0.1136,0.0,0.0
Osaka,llama3.1:8b,0.1,0.0417,0.0583,0.0,0.0
Osaka,gpt-5.4-nano,0.025,0.01,0.0143,0.0,0.0
Perth,gpt-5.4-nano,0.025,0.01,0.0143,0.0,0.0
Perth,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,0.0
Perth,llama3.1:8b,0.0,0.0,0.0,0.0,0.0
Toronto,gpt-5.4-nano,0.0714,0.0134,0.0225,0.0,0.0
Toronto,llama3.1:8b,0.0357,0.0119,0.0179,0.0,0.0
Toronto,gemini-3.1-flash-lite,0.0268,0.0067,0.0107,0.0,0.0
Vienna,gpt-5.4-nano,0.1841,0.0507,0.0742,0.0,0.0
Vienna,llama3.1:8b,0.0609,0.0308,0.0371,0.0,0.0
Vienna,gemini-3.1-flash-lite,0.0623,0.0337,0.0355,0.0,0.0
